layout,channel,x,y,z
standard_1005,Fp1,-0.0294367,0.08391710000000001,-0.0069900000000000006
standard_1005,Fpz,0.00011229999999999999,0.088247,-0.0017130000000000001
standard_1005,Fp2,0.029872299999999997,0.0848959,-0.00708
standard_1005,AF9,-0.048970799999999995,0.0640872,-0.047683
standard_1005,AF7,-0.0548397,0.0685722,-0.01059
standard_1005,AF5,-0.045430700000000004,0.0728622,0.005978
standard_1005,AF3,-0.0337007,0.0768371,0.021227
standard_1005,AF1,-0.018471699999999997,0.0799041,0.032752
standard_1005,AFz,0.0002313,0.080771,0.035417000000000004
standard_1005,AF2,0.0198203,0.08030190000000001,0.032764
standard_1005,AF4,0.0357123,0.0777259,0.021956
standard_1005,AF6,0.0465843,0.0738078,0.006033999999999999
standard_1005,AF8,0.055743299999999996,0.0696568,-0.010755
standard_1005,AF10,0.0504352,0.0638698,-0.048005000000000006
standard_1005,F9,-0.0701019,0.041652299999999996,-0.049951999999999996
standard_1005,F7,-0.0702629,0.0424743,-0.01142
standard_1005,F5,-0.0644658,0.048035299999999996,0.016921
standard_1005,F3,-0.0502438,0.0531112,0.042192
standard_1005,F1,-0.0274958,0.0569311,0.060342
standard_1005,Fz,0.0003122,0.058512,0.06646200000000001
standard_1005,F2,0.029514199999999997,0.0576019,0.059539999999999996
standard_1005,F4,0.0518362,0.0543048,0.040814
standard_1005,F6,0.0679142,0.049829700000000005,0.016367
standard_1005,F8,0.0730431,0.0444217,-0.012
standard_1005,F10,0.07211409999999999,0.0420667,-0.050452
standard_1005,FT9,-0.08407590000000001,0.0145673,-0.050429
standard_1005,FT7,-0.080775,0.0141203,-0.011134999999999999
standard_1005,FC5,-0.0772149,0.0186433,0.024460000000000003
standard_1005,FC3,-0.060181899999999997,0.0227162,0.055543999999999996
standard_1005,FC1,-0.0340619,0.0260111,0.07998699999999999
standard_1005,FCz,0.0003761,0.02739,0.08866800000000001
standard_1005,FC2,0.034784100000000005,0.0264379,0.078808
